Network;Station;Latitude;Longitude
 C;AGCH;-37.809;-72.697
 C;ANTU;-33.569;-70.633
 C;BI04;-38.412;-73.885
 C;CCH2;-36.603;-72.078
 C;CCSP;-36.844;-72.711
 C;CHRN;-47.146;-72.753
 C;CLCH;-33.396;-70.537
 C;COCH;-36.131;-72.788
 C;FAR1;-33.338;-70.299
 C;FSR;-33.479;-70.694
 C;GO01;-19.669;-69.194
 C;GO02;-25.163;-69.590
 C;GO03;-27.594;-70.235
 C;GO04;-30.173;-70.799
 C;GO05;-35.010;-71.930
 C;GO06;-39.584;-71.472
 C;GO07;-43.114;-73.664
 C;GO08;-48.465;-72.557
 C;GO09;-51.271;-72.338
 C;GO10;-53.155;-71.050
 C;HUNY;-42.379;-72.414
 C;LAJA;-37.281;-72.112
 C;LMEL;-33.848;-70.208
 C;RCDM;-33.489;-70.806
 C;ROC1;-32.976;-71.016
 C;SJVR;-35.590;-71.738
 C;STL;-33.440;-70.643
 C;TLL;-30.170;-70.805
 C1;AC01;-26.148;-70.599
 C1;AC02;-26.836;-69.129
 C1;AC03;-27.239;-70.745
 C1;AC04;-28.205;-71.074
 C1;AC05;-28.836;-70.274
 C1;AC06;-27.357;-70.355
 C1;AC07;-27.130;-70.860
 C1;AF01;-22.952;-68.179
 C1;AP01;-18.371;-70.342
 C1;AP02;-18.854;-69.143
 C1;AY01;-44.421;-72.648
 C1;AY02;-46.484;-73.195
 C1;AY03;-47.253;-72.591
 C1;AY04;-46.583;-71.691
 C1;AY05;-45.151;-73.512
 C1;AY06;-47.803;-73.538
 C1;BI02;-36.663;-71.273
 C1;BI03;-36.844;-73.026
 C1;BI04;-38.412;-73.886
 C1;BI05;-36.748;-73.191
 C1;BI06;-36.131;-72.788
 C1;BI07;-37.680;-73.643
 C1;BO01;-34.392;-71.085
 C1;BO02;-34.792;-70.781
 C1;BO03;-34.496;-71.961
 C1;BO04;-33.989;-70.609
 C1;CO01;-29.977;-70.094
 C1;CO02;-31.204;-71.000
 C1;CO03;-30.839;-70.689
 C1;CO04;-32.043;-70.975
 C1;CO05;-29.919;-71.238
