;#EventID;Time;Latitude;Longitude;Depth/km;Author;Catalog;Contributor;ContributorID;MagType;Magnitude;MagAuthor;EventLocationName;Magnitud;Estacion
0;10819566;2015-07-12 05:36:23;-32.505;-71.65;46.4;GUC;ISC;ISC;609378786;ML;2.9;GUC;NEAR COAST OF CENTRAL CHILE;2.9;CO02
1;10742187;2015-05-12 05:50:13;-22.483;-70.266;38.5;GUC;ISC;ISC;609110253;ML;2.9;GUC;NEAR COAST OF NORTHERN CHILE;2.9;PB06
2;10628368;2015-02-19 16:18:37;-32.0;-71.544;31.0;GUC;ISC;ISC;609109357;ML;2.9;GUC;NEAR COAST OF CENTRAL CHILE;2.9;CO02
3;10592213;2015-01-27 09:59:44;-20.029;-70.89;26.4;GUC;ISC;ISC;608991859;ML;2.9;GUC;NEAR COAST OF NORTHERN CHILE;2.9;PB09
4;10339970;2014-07-22 04:27:46;-22.065;-69.801;71.9;GUC;ISC;ISC;608054799;ML;2.9;GUC;NORTHERN CHILE;2.9;PB09
5;10255720;2014-05-23 01:27:03;-19.706;-70.954;33.8;GUC;ISC;ISC;607916701;ML;2.9;GUC;NEAR COAST OF NORTHERN CHILE;2.9;GO01
6;10187440;2014-04-19 18:21:54;-22.011;-70.321;37.9;GUC;ISC;ISC;608052788;ML;2.9;GUC;NEAR COAST OF NORTHERN CHILE;2.9;PB06
7;10166799;2014-04-02 15:37:03;-19.801;-70.676;32.1;GUC;ISC;ISC;608052029;ML;2.9;GUC;NEAR COAST OF NORTHERN CHILE;2.9;GO01
8;10164942;2014-04-01 01:06:37;-19.6;-71.114;31.8;GUC;ISC;ISC;608051969;ML;2.9;GUC;OFF COAST OF NORTHERN CHILE;2.9;GO01
9;10077722;2014-03-24 03:39:03;-19.775;-70.76;44.1;GUC;ISC;ISC;607916094;ML;2.9;GUC;NEAR COAST OF NORTHERN CHILE;2.9;GO01
10;10072244;2014-03-19 16:59:06;-20.049;-70.781;22.8;GUC;ISC;ISC;607915957;ML;2.9;GUC;NEAR COAST OF NORTHERN CHILE;2.9;GO01
11;10071373;2014-03-19 01:19:19;-19.979;-70.865;28.0;GUC;ISC;ISC;607915929;ML;2.9;GUC;NEAR COAST OF NORTHERN CHILE;2.9;GO01
12;10039030;2014-02-28 20:36:36;-24.796;-70.23;48.5;GUC;ISC;ISC;606785827;ML;2.9;GUC;NEAR COAST OF NORTHERN CHILE;2.9;PB14
13;10857238;2015-08-06 07:31:07;-29.775;-69.988;25.6;GUC;ISC;ISC;609379009;ML;2.8;GUC;CHILE-ARGENTINA BORDER REGION;2.8;CO02
14;10744623;2015-05-14 16:36:48;-28.779;-71.278;23.3;GUC;ISC;ISC;609110273;ML;2.8;GUC;NEAR COAST OF CENTRAL CHILE;2.8;GO03
15;10693173;2015-04-07 21:16:22;-30.978;-71.402;55.0;GUC;ISC;ISC;609109867;ML;2.8;GUC;NEAR COAST OF CENTRAL CHILE;2.8;CO02
16;10674966;2015-03-30 12:23:59;-20.639;-70.852;35.4;GUC;ISC;ISC;609109793;ML;2.8;GUC;NEAR COAST OF NORTHERN CHILE;2.8;PB09
17;10612624;2015-02-03 18:48:19;-22.982;-70.197;51.4;GUC;ISC;ISC;609109208;ML;2.8;GUC;NEAR COAST OF NORTHERN CHILE;2.8;PB06
18;10595371;2015-01-30 11:55:07;-32.782;-71.686;34.0;GUC;ISC;ISC;608991909;ML;2.8;GUC;NEAR COAST OF CENTRAL CHILE;2.8;CO02
19;10515605;2014-12-25 20:44:54;-24.358;-70.055;63.6;GUC;ISC;ISC;608911201;ML;2.8;GUC;NEAR COAST OF NORTHERN CHILE;2.8;PB14
20;10497989;2014-12-10 02:37:56;-31.58;-71.66;39.6;GUC;ISC;ISC;608910979;ML;2.8;GUC;NEAR COAST OF CENTRAL CHILE;2.8;CO02
21;10437904;2014-09-23 03:43:38;-19.771;-71.148;40.4;GUC;ISC;ISC;608276794;ML;2.8;GUC;OFF COAST OF NORTHERN CHILE;2.8;GO01
22;10325941;2014-07-08 17:19:43;-20.33;-70.468;33.9;GUC;ISC;ISC;608053133;ML;2.8;GUC;NEAR COAST OF NORTHERN CHILE;2.8;GO01
23;10268332;2014-05-31 18:57:17;-19.304;-71.008;37.6;GUC;ISC;ISC;607916795;ML;2.8;GUC;OFF COAST OF NORTHERN CHILE;2.8;GO01
24;10258100;2014-05-24 22:17:49;-19.296;-70.974;49.6;GUC;ISC;ISC;607916719;ML;2.8;GUC;NEAR COAST OF NORTHERN CHILE;2.8;GO01
25;10187140;2014-04-19 12:57:15;-19.861;-70.864;40.1;GUC;ISC;ISC;608052780;ML;2.8;GUC;NEAR COAST OF NORTHERN CHILE;2.8;GO01
26;10179045;2014-04-12 17:16:53;-22.651;-69.889;8.3;GUC;ISC;ISC;608052592;ML;2.8;GUC;NORTHERN CHILE;2.8;PB06
27;10010098;2014-02-03 12:36:27;-28.49;-71.376;43.6;SJA;ISC;ISC;609757857;MW;2.8;SJA;NEAR COAST OF CENTRAL CHILE;2.8;GO03
28;10771299;2015-06-01 04:27:52;-23.084;-70.492;39.6;GUC;ISC;ISC;609378377;ML;2.7;GUC;NEAR COAST OF NORTHERN CHILE;2.7;PB06
29;10699371;2015-04-14 01:59:31;-22.61;-70.349;41.5;GUC;ISC;ISC;609109940;ML;2.7;GUC;NEAR COAST OF NORTHERN CHILE;2.7;PB06
30;10646444;2015-03-02 08:28:33;-27.286;-71.329;32.8;GUC;ISC;ISC;609109499;ML;2.7;GUC;NEAR COAST OF NORTHERN CHILE;2.7;GO03
31;10572185;2015-01-07 17:19:06;-19.458;-70.558;36.8;GUC;ISC;ISC;608991589;ML;2.7;GUC;NEAR COAST OF NORTHERN CHILE;2.7;GO01
32;10330032;2014-07-12 11:45:02;-20.819;-70.708;32.4;GUC;ISC;ISC;608053742;ML;2.7;GUC;NEAR COAST OF NORTHERN CHILE;2.7;GO01
33;10307605;2014-06-21 07:22:34;-20.828;-70.757;22.6;GUC;ISC;ISC;607917051;ML;2.7;GUC;NEAR COAST OF NORTHERN CHILE;2.7;PB09
34;10252719;2014-05-20 10:46:35;-20.803;-71.038;37.0;GUC;ISC;ISC;607916664;ML;2.7;GUC;OFF COAST OF NORTHERN CHILE;2.7;GO01
35;10246906;2014-05-15 06:10:34;-32.152;-71.67;29.1;GUC;ISC;ISC;607916587;ML;2.7;GUC;NEAR COAST OF CENTRAL CHILE;2.7;CO02
36;10237416;2014-05-06 15:03:56;-20.287;-70.457;30.9;GUC;ISC;ISC;607916459;ML;2.7;GUC;NEAR COAST OF NORTHERN CHILE;2.7;GO01
