;#EventID;Time;Latitude;Longitude;Depth/km;Author;Catalog;Contributor;ContributorID;MagType;Magnitude;MagAuthor;EventLocationName;Magnitud;Estacion
0;11339857;2020-11-18 05:31:39;-29.8707;-71.1151;33.15;us;NEIC PDE;us;us6000cpqh;ML;3.9;us;NEAR COAST OF CENTRAL CHILE;3.9;CO01
1;10101486;2017-04-27 01:55:05;-33.1164;-71.7596;29.75;us;NEIC PDE;us;us10008l75;Mwr;3.9;us;NEAR COAST OF CENTRAL CHILE;3.9;CO02
2;5161121;2015-09-18 21:26:13;-32.3088;-71.8879;15.35;us;NEIC PDE;us;us20003lke;mwr;3.9;us;NEAR COAST OF CENTRAL CHILE;3.9;GO03
3;5112252;2015-04-29 11:34:16;-27.892;-71.0949;50.3;ISC;ISC;ISC;607215166;mb;3.9;ISC;NEAR COAST OF NORTHERN CHILE;3.9;GO03
4;5109006;2015-03-13 00:22:02;-32.6999;-71.5923;28.3;ISC;ISC;ISC;609109610;ML;3.9;GUC;NEAR COAST OF CENTRAL CHILE;3.9;CO02
5;10426228;2014-09-12 16:14:33;-32.799;-71.102;46.6;GUC;ISC;ISC;608276687;ML;3.9;GUC;NEAR COAST OF CENTRAL CHILE;3.9;CO02
6;4767310;2014-07-13 19:00:24;-24.3088;-70.2336;33.1;IDC;ISC;ISC;604845691;mb;3.9;IDC;NEAR COAST OF NORTHERN CHILE;3.9;PB14
7;10300184;2014-06-14 16:11:29;-30.2636;-71.5222;16.8;ISC;ISC;ISC;607916947;MW;3.9;SJA;NEAR COAST OF CENTRAL CHILE;3.9;CO02
8;10241923;2014-05-10 16:40:18;-28.151;-70.231;65.1;GUC;ISC;ISC;607916513;ML;3.9;GUC;CENTRAL CHILE;3.9;GO03
9;10170201;2014-04-05 13:36:21;-19.97;-70.985;37.6;GUC;ISC;ISC;608052281;ML;3.9;GUC;NEAR COAST OF NORTHERN CHILE;3.9;GO01
10;10169070;2014-04-04 13:41:28;-18.303;-69.2699;35.0;ISC;ISC;ISC;604426142;mb;3.9;ISC;NORTHERN CHILE;3.9;GO01
11;10165782;2014-04-01 18:57:39;-19.6902;-70.8104;9.7;ISC;ISC;ISC;606913280;mb;3.9;IDC;NEAR COAST OF NORTHERN CHILE;3.9;GO01
12;9965656;2014-01-08 20:35:37;-20.726;-70.583;32.1;GUC;ISC;ISC;606630326;ML;3.9;GUC;NEAR COAST OF NORTHERN CHILE;3.9;PB09
13;11323593;2020-10-11 07:06:13;-19.2998;-70.1674;57.19;us;NEIC PDE;us;us6000c7hu;mb;3.8;us;NEAR COAST OF NORTHERN CHILE;3.8;GO01
14;11258420;2020-06-23 20:19:18;-32.2594;-71.7159;35.35;us;NEIC PDE;us;us6000aheq;mb;3.8;us;NEAR COAST OF CENTRAL CHILE;3.8;CO02
15;5160710;2015-08-27 18:14:58;-18.4021;-71.0277;9.8;ISC;ISC;ISC;608096630;mb;3.8;ISC;OFF COAST OF NORTHERN CHILE;3.8;PB09
