;#EventID;Time;Latitude;Longitude;Depth/km;Author;Catalog;Contributor;ContributorID;MagType;Magnitude;MagAuthor;EventLocationName;Magnitud;Estacion
0;5159031;2015-09-16 23:38:01;-31.7842;-72.0222;12.5;us;NEIC PDE;us;us20003k89;mb;5.9;us;OFF COAST OF CENTRAL CHILE;5.9;GO03
1;5159118;2015-09-17 12:14:34;-32.9149;-71.6064;10.0;us;NEIC PDE;us;us20003kkw;mww;5.9;us;NEAR COAST OF CENTRAL CHILE;5.9;GO03
2;8498953;2015-09-17 12:14:35;-32.91;-71.6;10.0;gcmt;NEIC PDE;;us20150917121435;mwc;5.9;gcmt;NEAR COAST OF CENTRAL CHILE;5.9;GO03
3;5159127;2015-09-17 13:32:26;-32.1432;-72.3779;10.0;us;NEIC PDE;us;us20003kl4;mww;5.9;us;OFF COAST OF CENTRAL CHILE;5.9;GO03
4;5160855;2015-10-03 06:26:55;-30.301;-71.551;38.0;us;NEIC PDE;us;us10003jyt;mww;5.9;us;NEAR COAST OF CENTRAL CHILE;5.9;CO02
5;5161102;2015-10-05 16:33:26;-30.3035;-71.5318;34.0;us;NEIC PDE;us;us10003kg9;mww;5.9;us;NEAR COAST OF CENTRAL CHILE;5.9;GO03
6;5175068;2016-02-22 06:37:03;-30.4623;-72.063;10.2;us;NEIC PDE;us;us10004rn7;mwb;5.9;us;OFF COAST OF CENTRAL CHILE;5.9;CO02
7;5196427;2016-10-27 20:32:55;-33.7647;-72.5338;14.8;us.gcmt;NEIC PDE;us;us100072gn.gcmt20161027203255;Mwb;5.9;us;OFF COAST OF CENTRAL CHILE;5.9;CO02
8;10117557;2017-04-28 15:30:06;-33.2318;-71.9751;22.0;us;NEIC PDE;us;us10008llg;Mww;5.9;us;NEAR COAST OF CENTRAL CHILE;5.9;CO02
9;10405878;2017-09-18 13:46:57;-31.8159;-72.0977;17.0;us;NEIC PDE;us;us2000apwd;Mww;5.9;us;OFF COAST OF CENTRAL CHILE;5.9;CO02
10;4374988;2014-03-04 10:51:14;-33.6179;-71.9872;17.0;ISC;ISC;ISC;604090622;MW;5.8;GCMT;NEAR COAST OF CENTRAL CHILE;5.8;GO03
11;4488976;2014-03-18 21:26:46;-19.9572;-70.7833;7.5;ISC;ISC;ISC;604178139;MW;5.8;GCMT;NEAR COAST OF NORTHERN CHILE;5.8;GO01
12;4489282;2014-03-24 11:26:37;-19.846;-70.7468;9.8;ISC;ISC;ISC;604187975;MW;5.8;GCMT;NEAR COAST OF NORTHERN CHILE;5.8;GO01
13;4599224;2014-04-19 20:54:43;-20.0139;-70.9399;14.9;ISC;ISC;ISC;609948759;MW;5.8;GCMT;NEAR COAST OF NORTHERN CHILE;5.8;GO01
14;4682086;2014-06-19 09:38:35;-19.9702;-70.8154;5.4;ISC;ISC;ISC;604747267;MW;5.8;GCMT;NEAR COAST OF NORTHERN CHILE;5.8;GO01
15;4718021;2014-06-20 20:22:27;-19.7708;-70.9688;14.2;ISC;ISC;ISC;604753712;MW;5.8;GCMT;NEAR COAST OF NORTHERN CHILE;5.8;GO01
