#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
4371207|2014-01-07 22:45:39|-19.3035|-70.2386|56.6|ISC|ISC|ISC|603941442|mb|4.3|ISC|NEAR COAST OF NORTHERN CHILE
10025299|2014-02-17 00:47:08|-31.6659|-72.0691|0.5|ISC|ISC|ISC|604368704|mb|4.3|ISC|OFF COAST OF CENTRAL CHILE
4375020|2014-03-04 02:49:45|-27.8940|-71.2092|40.3|ISC|ISC|ISC|604090866|mb|4.3|ISC|NEAR COAST OF NORTHERN CHILE
4598295|2014-03-09 01:49:04|-33.0666|-72.1218|1.6|ISC|ISC|ISC|606911985|mb|4.3|ISC|OFF COAST OF CENTRAL CHILE
4599801|2014-03-17 04:59:21|-19.9425|-70.8090|22.9|ISC|ISC|ISC|604162381|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
4598672|2014-03-17 11:46:35|-19.9048|-70.8601|0.0|ISC|ISC|ISC|604172030|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
4600670|2014-03-24 07:13:50|-19.9699|-70.9124|10.4|ISC|ISC|ISC|606912906|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
4489290|2014-03-24 13:12:41|-19.7943|-70.8853|6.2|ISC|ISC|ISC|604273273|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
10078526|2014-03-24 18:20:28|-19.5983|-70.7171|29.3|ISC|ISC|ISC|606912939|mb|4.3|ISC|NEAR COAST OF NORTHERN CHILE
4600447|2014-03-24 21:08:30|-19.6285|-70.8536|13.0|ISC|ISC|ISC|606912951|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
4600499|2014-03-25 21:58:48|-19.7264|-70.8534|14.5|ISC|ISC|ISC|606913008|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
10166026|2014-04-02 00:10:33|-20.5613|-70.7710|0.0|IDC|ISC|ISC|606913298|mb|4.3|IDC|NEAR COAST OF NORTHERN CHILE
4601362|2014-04-02 01:13:34|-19.6387|-70.9285|22.0|ISC|ISC|ISC|606913352|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
4601682|2014-04-02 06:00:57|-19.9047|-70.9348|10.0|ISC|ISC|ISC|606913435|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
4638652|2014-04-02 06:50:05|-19.7441|-70.9228|3.5|ISC|ISC|ISC|606913438|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
4638680|2014-04-02 07:42:21|-19.4373|-70.9971|22.0|ISC|ISC|ISC|606913444|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
4638683|2014-04-02 08:13:07|-19.5315|-70.9101|8.4|ISC|ISC|ISC|606913449|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
4601214|2014-04-02 09:21:37|-19.9370|-71.0457|0.2|ISC|ISC|ISC|609948270|mb|4.3|NEIC|OFF COAST OF NORTHERN CHILE
4601280|2014-04-02 10:18:22|-20.0114|-71.0361|6.2|ISC|ISC|ISC|606913458|mb|4.3|NEIC|OFF COAST OF NORTHERN CHILE
4597379|2014-04-02 11:53:10|-20.0338|-70.9079|12.5|ISC|ISC|ISC|606913466|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
10166883|2014-04-02 17:05:15|-20.1099|-70.7043|8.4|ISC|ISC|ISC|606913489|mb|4.3|IDC|NEAR COAST OF NORTHERN CHILE
4605986|2014-04-02 17:06:54|-20.1763|-71.0474|11.9|ISC|ISC|ISC|606913490|mb|4.3|NEIC|OFF COAST OF NORTHERN CHILE
4612652|2014-04-02 17:40:18|-19.8832|-70.1072|50.8|ISC|ISC|ISC|604398843|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
4597479|2014-04-02 19:57:47|-20.0014|-71.0390|5.7|ISC|ISC|ISC|606913508|Mwr|4.3|NEIC|OFF COAST OF NORTHERN CHILE
4639145|2014-04-03 03:28:50|-20.6703|-70.5273|10.0|NEIC|ISC|ISC|609948327|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
10167637|2014-04-03 08:44:59|-20.5450|-70.7090|27.4|GUC|ISC|ISC|608052101|ML|4.3|GUC|NEAR COAST OF NORTHERN CHILE
4638760|2014-04-03 09:11:19|-20.2144|-70.3338|44.0|ISC|ISC|ISC|606913560|mb|4.3|NEIC|NEAR COAST OF NORTHERN CHILE
