Time;Magnitud;Estacion
2015-09-17 10:12:52;4.9;GO03
2018-08-01 06:19:05;4.9;CO02
2014-04-04 16:02:42;4.9;GO01
2014-04-02 02:52:26;4.9;GO01
2017-02-12 16:21:10;4.9;GO03
2014-05-05 09:02:55;4.9;GO01
2015-08-24 05:13:48;4.9;CO02
2014-03-16 22:29:35;4.9;GO01
2020-03-30 14:53:34;4.9;GO03
2020-04-03 08:48:00;4.8;GO03
2014-06-07 19:10:58;4.8;GO01
2017-01-08 00:33:47;4.8;CO02
2014-04-24 04:56:50;4.8;GO01
2014-05-05 02:52:03;4.8;GO01
2016-02-12 22:32:04;4.8;GO01
2014-04-05 06:32:08;4.8;GO01
2016-05-26 20:36:50;4.8;CO02
2015-09-28 06:05:43;4.8;CO02
2015-09-17 16:46:21;4.8;GO03
2019-11-24 21:18:25;4.7;CO02
2014-04-04 03:18:37;4.7;GO01
2014-04-03 13:01:37;4.7;GO01
2014-05-05 05:54:26;4.7;GO01
2015-10-15 11:03:11;4.7;GO03
2014-11-28 08:22:07;4.7;CO02
2016-07-25 14:59:29;4.7;CO02
2014-05-12 11:54:28;4.7;GO01
2014-04-10 00:10:32;4.7;GO01
2014-04-02 16:50:29;4.7;GO01
2014-10-24 00:58:46;4.6;CO02
2014-04-05 11:58:25;4.6;GO01
2015-09-17 03:34:50;4.6;GO03
2017-04-28 16:18:41;4.6;CO02
2020-09-03 03:23:54;4.6;GO03
2016-02-24 17:02:04;4.6;CO02
2014-03-24 19:59:42;4.6;GO01
2014-04-03 11:50:45;4.6;GO01
2015-02-22 05:40:18;4.6;PB09
2014-04-14 13:35:41;4.6;GO01
2014-12-02 01:00:45;4.5;PB09
2019-10-21 12:02:43;4.5;CO02
2015-10-23 14:47:58;4.5;GO03
2020-07-20 20:33:52;4.5;PB14
2014-04-03 13:23:22;4.5;GO01
2014-03-17 02:05:58;4.5;GO01
2014-04-02 20:34:42;4.5;GO01
2016-08-10 06:43:40;4.5;CO02
2014-05-28 10:27:03;4.5;CO02
2014-03-17 09:12:59;4.5;GO01
2015-09-29 16:46:15;4.4;CO02
2016-04-16 11:51:42;4.4;GO03
2014-03-18 14:58:44;4.4;GO01
2015-12-27 23:47:10;4.4;GO03
2015-11-07 11:51:29;4.4;GO03
2015-01-23 01:25:37;4.4;CO02
2016-05-29 23:17:51;4.4;CO02
2015-09-17 03:10:42;4.4;GO03
2020-06-15 04:35:44;4.4;CO02
2016-02-10 13:15:01;4.4;CO02
