Time;Magnitud;Estacion
2015-09-16 22:54:32;8.3;CO02
2014-04-01 23:46:47;8.1;GO01
2014-04-03 02:43:14;7.7;GO01
2015-09-16 23:18:41;7.0;GO03
2014-04-01 23:57:56;7.0;GO01
2015-11-11 02:46:19;6.9;GO03
2017-04-24 21:38:30;6.9;CO02
2015-11-11 01:54:38;6.9;GO03
2020-09-01 04:09:28;6.8;GO03
2015-11-07 07:31:43;6.8;GO03
2014-03-16 21:16:28;6.7;GO01
2019-01-20 01:32:51;6.7;CO01
2015-09-17 04:10:27;6.7;GO03
2015-09-21 17:40:00;6.6;GO03
2014-04-03 01:58:29;6.6;GO01
2014-04-03 05:26:13;6.5;PB09
2015-09-17 03:55:15;6.5;GO03
2020-09-01 21:09:17;6.5;GO03
2014-03-17 05:11:33;6.4;GO01
2014-08-23 22:32:23;6.4;CO02
2019-06-14 00:19:12;6.4;CO02
2015-09-17 01:41:05;6.4;GO03
2020-09-01 04:30:02;6.3;GO03
2015-09-26 02:51:18;6.3;CO02
2020-09-06 01:16:58;6.3;CO02
2016-02-10 00:33:05;6.3;CO02
2015-11-07 07:04:31;6.2;GO03
2015-09-19 12:52:20;6.2;GO03
2020-09-11 07:35:57;6.2;PB09
2014-03-22 12:59:57;6.2;GO01
2014-03-23 18:20:01;6.2;GO01
2015-11-27 21:00:22;6.2;PB14
2014-04-04 01:37:51;6.2;GO01
2015-09-18 09:10:44;6.2;GO03
2015-09-16 23:16:09;6.1;GO03
2015-09-21 05:39:34;6.1;GO03
2015-09-22 07:13:00;6.1;GO03
2014-04-11 00:01:43;6.1;GO01
2015-09-19 05:06:47;6.1;GO03
2019-11-04 21:53:25;6.1;CO02
2019-12-03 08:46:36;6.0;GO01
2017-04-23 02:36:07;6.0;CO02
