Start,End
2020-09-01 00:00:00.715505,2020-09-01 00:01:00.715505
2020-09-01 00:01:00.715505,2020-09-01 00:02:00.715505
2020-09-01 00:02:00.715505,2020-09-01 00:03:00.715505
2020-09-01 00:03:00.715505,2020-09-01 00:04:00.715505
2020-09-01 00:04:00.715505,2020-09-01 00:05:00.715505
2020-09-01 00:05:00.715505,2020-09-01 00:06:00.715505
2020-09-01 00:06:00.715505,2020-09-01 00:07:00.715505
2020-09-01 00:07:00.715505,2020-09-01 00:08:00.715505
2020-09-01 00:08:00.715505,2020-09-01 00:09:00.715505
2020-09-01 00:09:00.715505,2020-09-01 00:10:00.715505
2020-09-01 00:10:00.715505,2020-09-01 00:11:00.715505
2020-09-01 00:11:00.715505,2020-09-01 00:12:00.715505
2020-09-01 00:12:00.715505,2020-09-01 00:13:00.715505
2020-09-01 00:13:00.715505,2020-09-01 00:14:00.715505
2020-09-01 00:14:00.715505,2020-09-01 00:15:00.715505
2020-09-01 00:15:00.715505,2020-09-01 00:16:00.715505
2020-09-01 00:16:00.715505,2020-09-01 00:17:00.715505
2020-09-01 00:17:00.715505,2020-09-01 00:18:00.715505
2020-09-01 00:18:00.715505,2020-09-01 00:19:00.715505
2020-09-01 00:19:00.715505,2020-09-01 00:20:00.715505
2020-09-01 00:20:00.715505,2020-09-01 00:21:00.715505
2020-09-01 00:21:00.715505,2020-09-01 00:22:00.715505
2020-09-01 00:22:00.715505,2020-09-01 00:23:00.715505
2020-09-01 00:23:00.715505,2020-09-01 00:24:00.715505
2020-09-01 00:24:00.715505,2020-09-01 00:25:00.715505
2020-09-01 00:25:00.715505,2020-09-01 00:26:00.715505
2020-09-01 00:26:00.715505,2020-09-01 00:27:00.715505
2020-09-01 00:27:00.715505,2020-09-01 00:28:00.715505
2020-09-01 00:28:00.715505,2020-09-01 00:29:00.715505
2020-09-01 00:29:00.715505,2020-09-01 00:30:00.715505
2020-09-01 00:30:00.715505,2020-09-01 00:31:00.715505
2020-09-01 00:33:19.715505,2020-09-01 00:34:19.715505
2020-09-01 00:34:19.715505,2020-09-01 00:35:19.715505
2020-09-01 00:35:19.715505,2020-09-01 00:36:19.715505
2020-09-01 00:36:19.715505,2020-09-01 00:37:19.715505
2020-09-01 00:37:19.715505,2020-09-01 00:38:19.715505
2020-09-01 00:38:19.715505,2020-09-01 00:39:19.715505
2020-09-01 00:39:19.715505,2020-09-01 00:40:19.715505
2020-09-01 00:40:19.715505,2020-09-01 00:41:19.715505
2020-09-01 00:41:19.715505,2020-09-01 00:42:19.715505
2020-09-01 00:42:19.715505,2020-09-01 00:43:19.715505
2020-09-01 00:43:19.715505,2020-09-01 00:44:19.715505
2020-09-01 00:44:19.715505,2020-09-01 00:45:19.715505
2020-09-01 00:45:19.715505,2020-09-01 00:46:19.715505
2020-09-01 00:46:19.715505,2020-09-01 00:47:19.715505
2020-09-01 00:47:19.715505,2020-09-01 00:48:19.715505
2020-09-01 00:50:29.902871,2020-09-01 00:51:29.902871
2020-09-01 00:51:29.902871,2020-09-01 00:52:29.902871
2020-09-01 00:52:29.902871,2020-09-01 00:53:29.902871
2020-09-01 00:53:29.902871,2020-09-01 00:54:29.902871
2020-09-01 00:54:29.902871,2020-09-01 00:55:29.902871
2020-09-01 00:55:29.902871,2020-09-01 00:56:29.902871
2020-09-01 00:56:29.902871,2020-09-01 00:57:29.902871
2020-09-01 00:57:29.902871,2020-09-01 00:58:29.902871
2020-09-01 00:58:29.902871,2020-09-01 00:59:29.902871
2020-09-01 00:59:29.902871,2020-09-01 01:00:29.902871
2020-09-01 01:00:29.902871,2020-09-01 01:01:29.902871
2020-09-01 01:01:29.902871,2020-09-01 01:02:29.902871
2020-09-01 01:02:29.902871,2020-09-01 01:03:29.902871
2020-09-01 01:03:29.902871,2020-09-01 01:04:29.902871
2020-09-01 01:04:29.902871,2020-09-01 01:05:29.902871
2020-09-01 01:05:29.902871,2020-09-01 01:06:29.902871
2020-09-01 01:06:29.902871,2020-09-01 01:07:29.902871
2020-09-01 01:07:29.902871,2020-09-01 01:08:29.902871
2020-09-01 01:08:29.902871,2020-09-01 01:09:29.902871
2020-09-01 01:09:29.902871,2020-09-01 01:10:29.902871
2020-09-01 01:10:29.902871,2020-09-01 01:11:29.902871
2020-09-01 01:11:29.902871,2020-09-01 01:12:29.902871
2020-09-01 01:12:29.902871,2020-09-01 01:13:29.902871
2020-09-01 01:13:29.902871,2020-09-01 01:14:29.902871
2020-09-01 01:14:29.902871,2020-09-01 01:15:29.902871
2020-09-01 01:15:29.902871,2020-09-01 01:16:29.902871
2020-09-01 01:16:29.902871,2020-09-01 01:17:29.902871
2020-09-01 01:17:29.902871,2020-09-01 01:18:29.902871
2020-09-01 01:18:29.902871,2020-09-01 01:19:29.902871
2020-09-01 01:19:29.902871,2020-09-01 01:20:29.902871
2020-09-01 01:20:29.902871,2020-09-01 01:21:29.902871
2020-09-01 01:21:29.902871,2020-09-01 01:22:29.902871
2020-09-01 01:22:29.902871,2020-09-01 01:23:29.902871
2020-09-01 01:23:29.902871,2020-09-01 01:24:29.902871
2020-09-01 01:24:29.902871,2020-09-01 01:25:29.902871
2020-09-01 01:25:29.902871,2020-09-01 01:26:29.902871
2020-09-01 01:26:29.902871,2020-09-01 01:27:29.902871
2020-09-01 01:27:29.902871,2020-09-01 01:28:29.902871
2020-09-01 01:28:29.902871,2020-09-01 01:29:29.902871
2020-09-01 01:29:29.902871,2020-09-01 01:30:29.902871
2020-09-01 01:30:29.902871,2020-09-01 01:31:29.902871
2020-09-01 01:31:29.902871,2020-09-01 01:32:29.902871
2020-09-01 01:32:29.902871,2020-09-01 01:33:29.902871
2020-09-01 01:33:29.902871,2020-09-01 01:34:29.902871
2020-09-01 01:34:29.902871,2020-09-01 01:35:29.902871
2020-09-01 01:35:29.902871,2020-09-01 01:36:29.902871
2020-09-01 01:36:29.902871,2020-09-01 01:37:29.902871
2020-09-01 01:37:29.902871,2020-09-01 01:38:29.902871
2020-09-01 01:38:29.902871,2020-09-01 01:39:29.902871
2020-09-01 01:39:29.902871,2020-09-01 01:40:29.902871
2020-09-01 01:40:29.902871,2020-09-01 01:41:29.902871
2020-09-01 01:41:29.902871,2020-09-01 01:42:29.902871
2020-09-01 01:42:29.902871,2020-09-01 01:43:29.902871
2020-09-01 01:43:29.902871,2020-09-01 01:44:29.902871
2020-09-01 01:44:29.902871,2020-09-01 01:45:29.902871
2020-09-01 01:45:29.902871,2020-09-01 01:46:29.902871
2020-09-01 01:46:29.902871,2020-09-01 01:47:29.902871
2020-09-01 01:47:29.902871,2020-09-01 01:48:29.902871
2020-09-01 01:48:29.902871,2020-09-01 01:49:29.902871
2020-09-01 01:49:29.902871,2020-09-01 01:50:29.902871
2020-09-01 01:50:29.902871,2020-09-01 01:51:29.902871
2020-09-01 01:51:29.902871,2020-09-01 01:52:29.902871
2020-09-01 01:52:29.902871,2020-09-01 01:53:29.902871
2020-09-01 01:53:29.902871,2020-09-01 01:54:29.902871
2020-09-01 01:54:29.902871,2020-09-01 01:55:29.902871
2020-09-01 01:55:29.902871,2020-09-01 01:56:29.902871
2020-09-01 01:56:29.902871,2020-09-01 01:57:29.902871
2020-09-01 01:57:29.902871,2020-09-01 01:58:29.902871
2020-09-01 01:58:29.902871,2020-09-01 01:59:29.902871
2020-09-01 01:59:29.902871,2020-09-01 02:00:29.902871
2020-09-01 02:00:29.902871,2020-09-01 02:01:29.902871
2020-09-01 02:01:29.902871,2020-09-01 02:02:29.902871
2020-09-01 02:02:29.902871,2020-09-01 02:03:29.902871
2020-09-01 02:03:29.902871,2020-09-01 02:04:29.902871
2020-09-01 02:04:29.902871,2020-09-01 02:05:29.902871
2020-09-01 02:05:29.902871,2020-09-01 02:06:29.902871
2020-09-01 02:06:29.902871,2020-09-01 02:07:29.902871
2020-09-01 02:07:29.902871,2020-09-01 02:08:29.902871
2020-09-01 02:08:29.902871,2020-09-01 02:09:29.902871
2020-09-01 02:09:29.902871,2020-09-01 02:10:29.902871
2020-09-01 02:10:29.902871,2020-09-01 02:11:29.902871
2020-09-01 02:11:29.902871,2020-09-01 02:12:29.902871
2020-09-01 02:12:29.902871,2020-09-01 02:13:29.902871
2020-09-01 02:13:29.902871,2020-09-01 02:14:29.902871
2020-09-01 02:14:29.902871,2020-09-01 02:15:29.902871
2020-09-01 02:15:29.902871,2020-09-01 02:16:29.902871
2020-09-01 02:16:29.902871,2020-09-01 02:17:29.902871
2020-09-01 02:17:29.902871,2020-09-01 02:18:29.902871
2020-09-01 02:18:29.902871,2020-09-01 02:19:29.902871
2020-09-01 02:19:29.902871,2020-09-01 02:20:29.902871
2020-09-01 02:20:29.902871,2020-09-01 02:21:29.902871
2020-09-01 02:21:29.902871,2020-09-01 02:22:29.902871
2020-09-01 02:22:29.902871,2020-09-01 02:23:29.902871
2020-09-01 02:23:29.902871,2020-09-01 02:24:29.902871
2020-09-01 02:24:29.902871,2020-09-01 02:25:29.902871
2020-09-01 02:25:29.902871,2020-09-01 02:26:29.902871
2020-09-01 02:26:29.902871,2020-09-01 02:27:29.902871
2020-09-01 02:27:29.902871,2020-09-01 02:28:29.902871
2020-09-01 02:28:29.902871,2020-09-01 02:29:29.902871
2020-09-01 02:29:29.902871,2020-09-01 02:30:29.902871
2020-09-01 02:30:29.902871,2020-09-01 02:31:29.902871
2020-09-01 02:31:29.902871,2020-09-01 02:32:29.902871
2020-09-01 02:32:29.902871,2020-09-01 02:33:29.902871
2020-09-01 02:33:29.902871,2020-09-01 02:34:29.902871
2020-09-01 02:34:29.902871,2020-09-01 02:35:29.902871
2020-09-01 02:35:29.902871,2020-09-01 02:36:29.902871
2020-09-01 02:36:29.902871,2020-09-01 02:37:29.902871
2020-09-01 02:37:29.902871,2020-09-01 02:38:29.902871
2020-09-01 02:38:29.902871,2020-09-01 02:39:29.902871
2020-09-01 02:39:29.902871,2020-09-01 02:40:29.902871
2020-09-01 02:40:29.902871,2020-09-01 02:41:29.902871
2020-09-01 02:41:29.902871,2020-09-01 02:42:29.902871
2020-09-01 02:42:29.902871,2020-09-01 02:43:29.902871
2020-09-01 02:43:29.902871,2020-09-01 02:44:29.902871
2020-09-01 02:44:29.902871,2020-09-01 02:45:29.902871
2020-09-01 02:45:29.902871,2020-09-01 02:46:29.902871
2020-09-01 02:46:29.902871,2020-09-01 02:47:29.902871
2020-09-01 02:47:29.902871,2020-09-01 02:48:29.902871
2020-09-01 02:48:29.902871,2020-09-01 02:49:29.902871
2020-09-01 02:49:29.902871,2020-09-01 02:50:29.902871
2020-09-01 02:50:29.902871,2020-09-01 02:51:29.902871
