Start,End
2020-09-01 00:00:00.184566,2020-09-01 00:01:00.184566
2020-09-01 00:01:00.184566,2020-09-01 00:02:00.184566
2020-09-01 00:02:00.184566,2020-09-01 00:03:00.184566
2020-09-01 00:03:00.184566,2020-09-01 00:04:00.184566
2020-09-01 00:04:00.184566,2020-09-01 00:05:00.184566
2020-09-01 00:05:00.184566,2020-09-01 00:06:00.184566
2020-09-01 00:06:00.184566,2020-09-01 00:07:00.184566
2020-09-01 00:07:00.184566,2020-09-01 00:08:00.184566
2020-09-01 00:08:00.184566,2020-09-01 00:09:00.184566
2020-09-01 00:09:00.184566,2020-09-01 00:10:00.184566
2020-09-01 00:10:00.184566,2020-09-01 00:11:00.184566
2020-09-01 00:11:00.184566,2020-09-01 00:12:00.184566
2020-09-01 00:12:00.184566,2020-09-01 00:13:00.184566
2020-09-01 00:13:00.184566,2020-09-01 00:14:00.184566
2020-09-01 00:14:00.184566,2020-09-01 00:15:00.184566
2020-09-01 00:15:00.184566,2020-09-01 00:16:00.184566
2020-09-01 00:16:00.184566,2020-09-01 00:17:00.184566
2020-09-01 00:17:00.184566,2020-09-01 00:18:00.184566
2020-09-01 00:18:00.184566,2020-09-01 00:19:00.184566
2020-09-01 00:19:00.184566,2020-09-01 00:20:00.184566
2020-09-01 00:20:00.184566,2020-09-01 00:21:00.184566
2020-09-01 00:21:00.184566,2020-09-01 00:22:00.184566
2020-09-01 00:22:00.184566,2020-09-01 00:23:00.184566
2020-09-01 00:23:00.184566,2020-09-01 00:24:00.184566
2020-09-01 00:24:00.184566,2020-09-01 00:25:00.184566
2020-09-01 00:25:00.184566,2020-09-01 00:26:00.184566
2020-09-01 00:26:00.184566,2020-09-01 00:27:00.184566
2020-09-01 00:27:00.184566,2020-09-01 00:28:00.184566
2020-09-01 00:28:00.184566,2020-09-01 00:29:00.184566
2020-09-01 00:29:00.184566,2020-09-01 00:30:00.184566
2020-09-01 00:30:00.184566,2020-09-01 00:31:00.184566
2020-09-01 00:33:17.184566,2020-09-01 00:34:17.184566
2020-09-01 00:34:17.184566,2020-09-01 00:35:17.184566
2020-09-01 00:35:17.184566,2020-09-01 00:36:17.184566
2020-09-01 00:36:17.184566,2020-09-01 00:37:17.184566
2020-09-01 00:37:17.184566,2020-09-01 00:38:17.184566
2020-09-01 00:38:17.184566,2020-09-01 00:39:17.184566
2020-09-01 00:39:17.184566,2020-09-01 00:40:17.184566
2020-09-01 00:40:17.184566,2020-09-01 00:41:17.184566
2020-09-01 00:41:17.184566,2020-09-01 00:42:17.184566
2020-09-01 00:42:17.184566,2020-09-01 00:43:17.184566
2020-09-01 00:43:17.184566,2020-09-01 00:44:17.184566
2020-09-01 00:44:17.184566,2020-09-01 00:45:17.184566
2020-09-01 00:45:17.184566,2020-09-01 00:46:17.184566
2020-09-01 00:46:17.184566,2020-09-01 00:47:17.184566
2020-09-01 00:47:17.184566,2020-09-01 00:48:17.184566
2020-09-01 00:50:27.667493,2020-09-01 00:51:27.667493
2020-09-01 00:51:27.667493,2020-09-01 00:52:27.667493
2020-09-01 00:52:27.667493,2020-09-01 00:53:27.667493
2020-09-01 00:53:27.667493,2020-09-01 00:54:27.667493
2020-09-01 00:54:27.667493,2020-09-01 00:55:27.667493
2020-09-01 00:55:27.667493,2020-09-01 00:56:27.667493
2020-09-01 00:56:27.667493,2020-09-01 00:57:27.667493
2020-09-01 00:57:27.667493,2020-09-01 00:58:27.667493
2020-09-01 00:58:27.667493,2020-09-01 00:59:27.667493
2020-09-01 00:59:27.667493,2020-09-01 01:00:27.667493
2020-09-01 01:00:27.667493,2020-09-01 01:01:27.667493
2020-09-01 01:01:27.667493,2020-09-01 01:02:27.667493
2020-09-01 01:02:27.667493,2020-09-01 01:03:27.667493
2020-09-01 01:03:27.667493,2020-09-01 01:04:27.667493
2020-09-01 01:04:27.667493,2020-09-01 01:05:27.667493
2020-09-01 01:05:27.667493,2020-09-01 01:06:27.667493
2020-09-01 01:06:27.667493,2020-09-01 01:07:27.667493
2020-09-01 01:07:27.667493,2020-09-01 01:08:27.667493
2020-09-01 01:08:27.667493,2020-09-01 01:09:27.667493
2020-09-01 01:09:27.667493,2020-09-01 01:10:27.667493
2020-09-01 01:10:27.667493,2020-09-01 01:11:27.667493
2020-09-01 01:11:27.667493,2020-09-01 01:12:27.667493
2020-09-01 01:12:27.667493,2020-09-01 01:13:27.667493
2020-09-01 01:13:27.667493,2020-09-01 01:14:27.667493
2020-09-01 01:14:27.667493,2020-09-01 01:15:27.667493
2020-09-01 01:15:27.667493,2020-09-01 01:16:27.667493
2020-09-01 01:16:27.667493,2020-09-01 01:17:27.667493
2020-09-01 01:17:27.667493,2020-09-01 01:18:27.667493
2020-09-01 01:18:27.667493,2020-09-01 01:19:27.667493
2020-09-01 01:19:27.667493,2020-09-01 01:20:27.667493
2020-09-01 01:20:27.667493,2020-09-01 01:21:27.667493
2020-09-01 01:21:27.667493,2020-09-01 01:22:27.667493
2020-09-01 01:22:27.667493,2020-09-01 01:23:27.667493
2020-09-01 01:23:27.667493,2020-09-01 01:24:27.667493
2020-09-01 01:24:27.667493,2020-09-01 01:25:27.667493
2020-09-01 01:25:27.667493,2020-09-01 01:26:27.667493
2020-09-01 01:26:27.667493,2020-09-01 01:27:27.667493
2020-09-01 01:27:27.667493,2020-09-01 01:28:27.667493
2020-09-01 01:28:27.667493,2020-09-01 01:29:27.667493
2020-09-01 01:29:27.667493,2020-09-01 01:30:27.667493
2020-09-01 01:30:27.667493,2020-09-01 01:31:27.667493
2020-09-01 01:31:27.667493,2020-09-01 01:32:27.667493
2020-09-01 01:32:27.667493,2020-09-01 01:33:27.667493
2020-09-01 01:33:27.667493,2020-09-01 01:34:27.667493
2020-09-01 01:34:27.667493,2020-09-01 01:35:27.667493
2020-09-01 01:35:27.667493,2020-09-01 01:36:27.667493
2020-09-01 01:36:27.667493,2020-09-01 01:37:27.667493
2020-09-01 01:37:27.667493,2020-09-01 01:38:27.667493
2020-09-01 01:38:27.667493,2020-09-01 01:39:27.667493
2020-09-01 01:39:27.667493,2020-09-01 01:40:27.667493
2020-09-01 01:40:27.667493,2020-09-01 01:41:27.667493
2020-09-01 01:41:27.667493,2020-09-01 01:42:27.667493
2020-09-01 01:42:27.667493,2020-09-01 01:43:27.667493
2020-09-01 01:43:27.667493,2020-09-01 01:44:27.667493
2020-09-01 01:44:27.667493,2020-09-01 01:45:27.667493
2020-09-01 01:45:27.667493,2020-09-01 01:46:27.667493
2020-09-01 01:46:27.667493,2020-09-01 01:47:27.667493
2020-09-01 01:47:27.667493,2020-09-01 01:48:27.667493
2020-09-01 01:48:27.667493,2020-09-01 01:49:27.667493
2020-09-01 01:49:27.667493,2020-09-01 01:50:27.667493
2020-09-01 01:50:27.667493,2020-09-01 01:51:27.667493
2020-09-01 01:51:27.667493,2020-09-01 01:52:27.667493
2020-09-01 01:52:27.667493,2020-09-01 01:53:27.667493
2020-09-01 01:53:27.667493,2020-09-01 01:54:27.667493
2020-09-01 01:54:27.667493,2020-09-01 01:55:27.667493
2020-09-01 01:55:27.667493,2020-09-01 01:56:27.667493
2020-09-01 01:56:27.667493,2020-09-01 01:57:27.667493
2020-09-01 01:57:27.667493,2020-09-01 01:58:27.667493
2020-09-01 01:58:27.667493,2020-09-01 01:59:27.667493
2020-09-01 01:59:27.667493,2020-09-01 02:00:27.667493
2020-09-01 02:00:27.667493,2020-09-01 02:01:27.667493
2020-09-01 02:01:27.667493,2020-09-01 02:02:27.667493
2020-09-01 02:02:27.667493,2020-09-01 02:03:27.667493
2020-09-01 02:03:27.667493,2020-09-01 02:04:27.667493
2020-09-01 02:04:27.667493,2020-09-01 02:05:27.667493
2020-09-01 02:05:27.667493,2020-09-01 02:06:27.667493
2020-09-01 02:06:27.667493,2020-09-01 02:07:27.667493
2020-09-01 02:07:27.667493,2020-09-01 02:08:27.667493
2020-09-01 02:08:27.667493,2020-09-01 02:09:27.667493
2020-09-01 02:09:27.667493,2020-09-01 02:10:27.667493
2020-09-01 02:10:27.667493,2020-09-01 02:11:27.667493
2020-09-01 02:11:27.667493,2020-09-01 02:12:27.667493
2020-09-01 02:12:27.667493,2020-09-01 02:13:27.667493
2020-09-01 02:13:27.667493,2020-09-01 02:14:27.667493
2020-09-01 02:14:27.667493,2020-09-01 02:15:27.667493
2020-09-01 02:15:27.667493,2020-09-01 02:16:27.667493
2020-09-01 02:16:27.667493,2020-09-01 02:17:27.667493
2020-09-01 02:17:27.667493,2020-09-01 02:18:27.667493
2020-09-01 02:18:27.667493,2020-09-01 02:19:27.667493
2020-09-01 02:19:27.667493,2020-09-01 02:20:27.667493
2020-09-01 02:20:27.667493,2020-09-01 02:21:27.667493
2020-09-01 02:21:27.667493,2020-09-01 02:22:27.667493
2020-09-01 02:22:27.667493,2020-09-01 02:23:27.667493
2020-09-01 02:23:27.667493,2020-09-01 02:24:27.667493
2020-09-01 02:24:27.667493,2020-09-01 02:25:27.667493
2020-09-01 02:25:27.667493,2020-09-01 02:26:27.667493
2020-09-01 02:26:27.667493,2020-09-01 02:27:27.667493
2020-09-01 02:27:27.667493,2020-09-01 02:28:27.667493
2020-09-01 02:28:27.667493,2020-09-01 02:29:27.667493
2020-09-01 02:29:27.667493,2020-09-01 02:30:27.667493
2020-09-01 02:30:27.667493,2020-09-01 02:31:27.667493
2020-09-01 02:31:27.667493,2020-09-01 02:32:27.667493
2020-09-01 02:32:27.667493,2020-09-01 02:33:27.667493
2020-09-01 02:33:27.667493,2020-09-01 02:34:27.667493
2020-09-01 02:34:27.667493,2020-09-01 02:35:27.667493
2020-09-01 02:35:27.667493,2020-09-01 02:36:27.667493
2020-09-01 02:36:27.667493,2020-09-01 02:37:27.667493
2020-09-01 02:37:27.667493,2020-09-01 02:38:27.667493
2020-09-01 02:38:27.667493,2020-09-01 02:39:27.667493
2020-09-01 02:39:27.667493,2020-09-01 02:40:27.667493
2020-09-01 02:40:27.667493,2020-09-01 02:41:27.667493
2020-09-01 02:41:27.667493,2020-09-01 02:42:27.667493
2020-09-01 02:42:27.667493,2020-09-01 02:43:27.667493
2020-09-01 02:43:27.667493,2020-09-01 02:44:27.667493
2020-09-01 02:44:27.667493,2020-09-01 02:45:27.667493
2020-09-01 02:45:27.667493,2020-09-01 02:46:27.667493
2020-09-01 02:46:27.667493,2020-09-01 02:47:27.667493
2020-09-01 02:47:27.667493,2020-09-01 02:48:27.667493
2020-09-01 02:48:27.667493,2020-09-01 02:49:27.667493
2020-09-01 02:49:27.667493,2020-09-01 02:50:27.667493
2020-09-01 02:50:27.667493,2020-09-01 02:51:27.667493
2020-09-01 02:51:27.667493,2020-09-01 02:52:27.667493
2020-09-01 02:52:27.667493,2020-09-01 02:53:27.667493
2020-09-01 02:53:27.667493,2020-09-01 02:54:27.667493
2020-09-01 02:54:27.667493,2020-09-01 02:55:27.667493
2020-09-01 02:55:27.667493,2020-09-01 02:56:27.667493
2020-09-01 02:56:27.667493,2020-09-01 02:57:27.667493
2020-09-01 02:57:27.667493,2020-09-01 02:58:27.667493
2020-09-01 02:58:27.667493,2020-09-01 02:59:27.667493
2020-09-01 02:59:27.667493,2020-09-01 03:00:27.667493
2020-09-01 03:00:27.667493,2020-09-01 03:01:27.667493
2020-09-01 03:01:27.667493,2020-09-01 03:02:27.667493
2020-09-01 03:02:27.667493,2020-09-01 03:03:27.667493
2020-09-01 03:03:27.667493,2020-09-01 03:04:27.667493
2020-09-01 03:04:27.667493,2020-09-01 03:05:27.667493
2020-09-01 03:05:27.667493,2020-09-01 03:06:27.667493
2020-09-01 03:06:27.667493,2020-09-01 03:07:27.667493
2020-09-01 03:07:27.667493,2020-09-01 03:08:27.667493
2020-09-01 03:08:27.667493,2020-09-01 03:09:27.667493
2020-09-01 03:09:27.667493,2020-09-01 03:10:27.667493
2020-09-01 03:10:27.667493,2020-09-01 03:11:27.667493
2020-09-01 03:11:27.667493,2020-09-01 03:12:27.667493
2020-09-01 03:12:27.667493,2020-09-01 03:13:27.667493
2020-09-01 03:13:27.667493,2020-09-01 03:14:27.667493
2020-09-01 03:14:27.667493,2020-09-01 03:15:27.667493
2020-09-01 03:15:27.667493,2020-09-01 03:16:27.667493
2020-09-01 03:16:27.667493,2020-09-01 03:17:27.667493
2020-09-01 03:17:27.667493,2020-09-01 03:18:27.667493
2020-09-01 03:18:27.667493,2020-09-01 03:19:27.667493
2020-09-01 03:19:27.667493,2020-09-01 03:20:27.667493
2020-09-01 03:20:27.667493,2020-09-01 03:21:27.667493
2020-09-01 03:21:27.667493,2020-09-01 03:22:27.667493
2020-09-01 03:22:27.667493,2020-09-01 03:23:27.667493
2020-09-01 03:23:27.667493,2020-09-01 03:24:27.667493
2020-09-01 03:24:27.667493,2020-09-01 03:25:27.667493
2020-09-01 03:25:27.667493,2020-09-01 03:26:27.667493
2020-09-01 03:26:27.667493,2020-09-01 03:27:27.667493
2020-09-01 03:27:27.667493,2020-09-01 03:28:27.667493
2020-09-01 03:28:27.667493,2020-09-01 03:29:27.667493
2020-09-01 03:29:27.667493,2020-09-01 03:30:27.667493
2020-09-01 03:30:27.667493,2020-09-01 03:31:27.667493
2020-09-01 03:31:27.667493,2020-09-01 03:32:27.667493
2020-09-01 03:32:27.667493,2020-09-01 03:33:27.667493
2020-09-01 03:33:27.667493,2020-09-01 03:34:27.667493
2020-09-01 03:34:27.667493,2020-09-01 03:35:27.667493
2020-09-01 03:35:27.667493,2020-09-01 03:36:27.667493
2020-09-01 03:36:27.667493,2020-09-01 03:37:27.667493
2020-09-01 03:37:27.667493,2020-09-01 03:38:27.667493
2020-09-01 03:38:27.667493,2020-09-01 03:39:27.667493
2020-09-01 03:39:27.667493,2020-09-01 03:40:27.667493
2020-09-01 03:40:27.667493,2020-09-01 03:41:27.667493
2020-09-01 03:41:27.667493,2020-09-01 03:42:27.667493
2020-09-01 03:42:27.667493,2020-09-01 03:43:27.667493
2020-09-01 03:43:27.667493,2020-09-01 03:44:27.667493
2020-09-01 03:44:27.667493,2020-09-01 03:45:27.667493
2020-09-01 03:45:27.667493,2020-09-01 03:46:27.667493
2020-09-01 03:46:27.667493,2020-09-01 03:47:27.667493
2020-09-01 03:47:27.667493,2020-09-01 03:48:27.667493
2020-09-01 03:48:27.667493,2020-09-01 03:49:27.667493
2020-09-01 03:49:27.667493,2020-09-01 03:50:27.667493
2020-09-01 03:50:27.667493,2020-09-01 03:51:27.667493
2020-09-01 03:51:27.667493,2020-09-01 03:52:27.667493
2020-09-01 03:52:27.667493,2020-09-01 03:53:27.667493
2020-09-01 03:53:27.667493,2020-09-01 03:54:27.667493
2020-09-01 03:54:27.667493,2020-09-01 03:55:27.667493
2020-09-01 03:55:27.667493,2020-09-01 03:56:27.667493
2020-09-01 03:56:27.667493,2020-09-01 03:57:27.667493
2020-09-01 03:57:27.667493,2020-09-01 03:58:27.667493
2020-09-01 03:58:27.667493,2020-09-01 03:59:27.667493
2020-09-01 03:59:27.667493,2020-09-01 04:00:27.667493
2020-09-01 04:00:27.667493,2020-09-01 04:01:27.667493
2020-09-01 04:01:27.667493,2020-09-01 04:02:27.667493
2020-09-01 04:02:27.667493,2020-09-01 04:03:27.667493
2020-09-01 04:03:27.667493,2020-09-01 04:04:27.667493
2020-09-01 04:04:27.667493,2020-09-01 04:05:27.667493
2020-09-01 04:05:27.667493,2020-09-01 04:06:27.667493
2020-09-01 04:06:27.667493,2020-09-01 04:07:27.667493
2020-09-01 04:07:27.667493,2020-09-01 04:08:27.667493
2020-09-01 04:08:27.667493,2020-09-01 04:09:27.667493
2020-09-01 04:11:40.336671,2020-09-01 04:12:40.336671
2020-09-01 04:12:40.336671,2020-09-01 04:13:40.336671
2020-09-01 04:13:40.336671,2020-09-01 04:14:40.336671
