Start,End
2017-12-11 00:00:00.509106,2017-12-11 00:01:00.509106
2017-12-11 00:01:00.509106,2017-12-11 00:02:00.509106
2017-12-11 00:02:00.509106,2017-12-11 00:03:00.509106
2017-12-11 00:03:00.509106,2017-12-11 00:04:00.509106
2017-12-11 00:04:00.509106,2017-12-11 00:05:00.509106
2017-12-11 00:05:00.509106,2017-12-11 00:06:00.509106
2017-12-11 00:06:00.509106,2017-12-11 00:07:00.509106
2017-12-11 00:07:00.509106,2017-12-11 00:08:00.509106
2017-12-11 00:08:00.509106,2017-12-11 00:09:00.509106
2017-12-11 00:09:00.509106,2017-12-11 00:10:00.509106
2017-12-11 00:10:00.509106,2017-12-11 00:11:00.509106
2017-12-11 00:11:00.509106,2017-12-11 00:12:00.509106
2017-12-11 00:12:00.509106,2017-12-11 00:13:00.509106
2017-12-11 00:13:00.509106,2017-12-11 00:14:00.509106
2017-12-11 00:14:00.509106,2017-12-11 00:15:00.509106
2017-12-11 00:15:00.509106,2017-12-11 00:16:00.509106
2017-12-11 00:16:00.509106,2017-12-11 00:17:00.509106
2017-12-11 00:17:00.509106,2017-12-11 00:18:00.509106
2017-12-11 00:18:00.509106,2017-12-11 00:19:00.509106
2017-12-11 00:19:00.509106,2017-12-11 00:20:00.509106
2017-12-11 00:20:00.509106,2017-12-11 00:21:00.509106
2017-12-11 00:21:00.509106,2017-12-11 00:22:00.509106
2017-12-11 00:24:16.509106,2017-12-11 00:25:16.509106
2017-12-11 00:25:16.509106,2017-12-11 00:26:16.509106
2017-12-11 00:26:16.509106,2017-12-11 00:27:16.509106
2017-12-11 00:27:16.509106,2017-12-11 00:28:16.509106
2017-12-11 00:28:16.509106,2017-12-11 00:29:16.509106
2017-12-11 00:29:16.509106,2017-12-11 00:30:16.509106
2017-12-11 00:30:16.509106,2017-12-11 00:31:16.509106
2017-12-11 00:31:16.509106,2017-12-11 00:32:16.509106
2017-12-11 00:32:16.509106,2017-12-11 00:33:16.509106
2017-12-11 00:33:16.509106,2017-12-11 00:34:16.509106
2017-12-11 00:34:16.509106,2017-12-11 00:35:16.509106
