Start,End
2017-12-11 00:00:00.283195,2017-12-11 00:01:00.283195
2017-12-11 00:01:00.283195,2017-12-11 00:02:00.283195
2017-12-11 00:02:00.283195,2017-12-11 00:03:00.283195
2017-12-11 00:03:00.283195,2017-12-11 00:04:00.283195
2017-12-11 00:04:00.283195,2017-12-11 00:05:00.283195
2017-12-11 00:05:00.283195,2017-12-11 00:06:00.283195
2017-12-11 00:06:00.283195,2017-12-11 00:07:00.283195
2017-12-11 00:07:00.283195,2017-12-11 00:08:00.283195
2017-12-11 00:08:00.283195,2017-12-11 00:09:00.283195
2017-12-11 00:09:00.283195,2017-12-11 00:10:00.283195
2017-12-11 00:10:00.283195,2017-12-11 00:11:00.283195
2017-12-11 00:11:00.283195,2017-12-11 00:12:00.283195
2017-12-11 00:12:00.283195,2017-12-11 00:13:00.283195
2017-12-11 00:13:00.283195,2017-12-11 00:14:00.283195
2017-12-11 00:14:00.283195,2017-12-11 00:15:00.283195
2017-12-11 00:15:00.283195,2017-12-11 00:16:00.283195
2017-12-11 00:16:00.283195,2017-12-11 00:17:00.283195
2017-12-11 00:17:00.283195,2017-12-11 00:18:00.283195
2017-12-11 00:18:00.283195,2017-12-11 00:19:00.283195
2017-12-11 00:19:00.283195,2017-12-11 00:20:00.283195
2017-12-11 00:20:00.283195,2017-12-11 00:21:00.283195
2017-12-11 00:21:00.283195,2017-12-11 00:22:00.283195
2017-12-11 00:24:09.283195,2017-12-11 00:25:09.283195
2017-12-11 00:25:09.283195,2017-12-11 00:26:09.283195
2017-12-11 00:26:09.283195,2017-12-11 00:27:09.283195
2017-12-11 00:27:09.283195,2017-12-11 00:28:09.283195
2017-12-11 00:28:09.283195,2017-12-11 00:29:09.283195
2017-12-11 00:29:09.283195,2017-12-11 00:30:09.283195
2017-12-11 00:30:09.283195,2017-12-11 00:31:09.283195
2017-12-11 00:31:09.283195,2017-12-11 00:32:09.283195
2017-12-11 00:32:09.283195,2017-12-11 00:33:09.283195
2017-12-11 00:33:09.283195,2017-12-11 00:34:09.283195
2017-12-11 00:34:09.283195,2017-12-11 00:35:09.283195
2017-12-11 00:35:09.283195,2017-12-11 00:36:09.283195
2017-12-11 00:36:09.283195,2017-12-11 00:37:09.283195
