Start,End
2017-12-11 00:00:00.060683,2017-12-11 00:01:00.060683
2017-12-11 00:01:00.060683,2017-12-11 00:02:00.060683
2017-12-11 00:02:00.060683,2017-12-11 00:03:00.060683
2017-12-11 00:03:00.060683,2017-12-11 00:04:00.060683
2017-12-11 00:04:00.060683,2017-12-11 00:05:00.060683
2017-12-11 00:05:00.060683,2017-12-11 00:06:00.060683
2017-12-11 00:06:00.060683,2017-12-11 00:07:00.060683
2017-12-11 00:07:00.060683,2017-12-11 00:08:00.060683
2017-12-11 00:08:00.060683,2017-12-11 00:09:00.060683
2017-12-11 00:09:00.060683,2017-12-11 00:10:00.060683
2017-12-11 00:10:00.060683,2017-12-11 00:11:00.060683
2017-12-11 00:11:00.060683,2017-12-11 00:12:00.060683
2017-12-11 00:12:00.060683,2017-12-11 00:13:00.060683
2017-12-11 00:13:00.060683,2017-12-11 00:14:00.060683
2017-12-11 00:14:00.060683,2017-12-11 00:15:00.060683
2017-12-11 00:15:00.060683,2017-12-11 00:16:00.060683
2017-12-11 00:16:00.060683,2017-12-11 00:17:00.060683
2017-12-11 00:17:00.060683,2017-12-11 00:18:00.060683
2017-12-11 00:18:00.060683,2017-12-11 00:19:00.060683
2017-12-11 00:19:00.060683,2017-12-11 00:20:00.060683
2017-12-11 00:20:00.060683,2017-12-11 00:21:00.060683
2017-12-11 00:21:00.060683,2017-12-11 00:22:00.060683
2017-12-11 00:24:07.060683,2017-12-11 00:25:07.060683
2017-12-11 00:25:07.060683,2017-12-11 00:26:07.060683
2017-12-11 00:26:07.060683,2017-12-11 00:27:07.060683
2017-12-11 00:27:07.060683,2017-12-11 00:28:07.060683
2017-12-11 00:28:07.060683,2017-12-11 00:29:07.060683
2017-12-11 00:29:07.060683,2017-12-11 00:30:07.060683
2017-12-11 00:30:07.060683,2017-12-11 00:31:07.060683
2017-12-11 00:31:07.060683,2017-12-11 00:32:07.060683
2017-12-11 00:32:07.060683,2017-12-11 00:33:07.060683
2017-12-11 00:33:07.060683,2017-12-11 00:34:07.060683
2017-12-11 00:34:07.060683,2017-12-11 00:35:07.060683
2017-12-11 00:35:07.060683,2017-12-11 00:36:07.060683
