Start,End
2017-12-11 00:00:00.361776,2017-12-11 00:01:00.361776
2017-12-11 00:01:00.361776,2017-12-11 00:02:00.361776
2017-12-11 00:02:00.361776,2017-12-11 00:03:00.361776
2017-12-11 00:03:00.361776,2017-12-11 00:04:00.361776
2017-12-11 00:04:00.361776,2017-12-11 00:05:00.361776
2017-12-11 00:05:00.361776,2017-12-11 00:06:00.361776
2017-12-11 00:06:00.361776,2017-12-11 00:07:00.361776
2017-12-11 00:07:00.361776,2017-12-11 00:08:00.361776
2017-12-11 00:08:00.361776,2017-12-11 00:09:00.361776
2017-12-11 00:09:00.361776,2017-12-11 00:10:00.361776
2017-12-11 00:10:00.361776,2017-12-11 00:11:00.361776
2017-12-11 00:11:00.361776,2017-12-11 00:12:00.361776
2017-12-11 00:12:00.361776,2017-12-11 00:13:00.361776
2017-12-11 00:13:00.361776,2017-12-11 00:14:00.361776
2017-12-11 00:14:00.361776,2017-12-11 00:15:00.361776
2017-12-11 00:15:00.361776,2017-12-11 00:16:00.361776
2017-12-11 00:16:00.361776,2017-12-11 00:17:00.361776
2017-12-11 00:17:00.361776,2017-12-11 00:18:00.361776
2017-12-11 00:18:00.361776,2017-12-11 00:19:00.361776
2017-12-11 00:19:00.361776,2017-12-11 00:20:00.361776
2017-12-11 00:20:00.361776,2017-12-11 00:21:00.361776
2017-12-11 00:21:00.361776,2017-12-11 00:22:00.361776
2017-12-11 00:24:20.361776,2017-12-11 00:25:20.361776
2017-12-11 00:25:20.361776,2017-12-11 00:26:20.361776
2017-12-11 00:26:20.361776,2017-12-11 00:27:20.361776
2017-12-11 00:27:20.361776,2017-12-11 00:28:20.361776
2017-12-11 00:28:20.361776,2017-12-11 00:29:20.361776
2017-12-11 00:29:20.361776,2017-12-11 00:30:20.361776
2017-12-11 00:30:20.361776,2017-12-11 00:31:20.361776
2017-12-11 00:31:20.361776,2017-12-11 00:32:20.361776
2017-12-11 00:32:20.361776,2017-12-11 00:33:20.361776
2017-12-11 00:33:20.361776,2017-12-11 00:34:20.361776
2017-12-11 00:34:20.361776,2017-12-11 00:35:20.361776
2017-12-11 00:35:20.361776,2017-12-11 00:36:20.361776
2017-12-11 00:36:20.361776,2017-12-11 00:37:20.361776
2017-12-11 00:37:20.361776,2017-12-11 00:38:20.361776
2017-12-11 00:38:20.361776,2017-12-11 00:39:20.361776
2017-12-11 00:39:20.361776,2017-12-11 00:40:20.361776
2017-12-11 00:40:20.361776,2017-12-11 00:41:20.361776
2017-12-11 00:43:34.210031,2017-12-11 00:44:34.210031
2017-12-11 00:44:34.210031,2017-12-11 00:45:34.210031
2017-12-11 00:45:34.210031,2017-12-11 00:46:34.210031
2017-12-11 00:46:34.210031,2017-12-11 00:47:34.210031
2017-12-11 00:47:34.210031,2017-12-11 00:48:34.210031
2017-12-11 00:48:34.210031,2017-12-11 00:49:34.210031
2017-12-11 00:49:34.210031,2017-12-11 00:50:34.210031
2017-12-11 00:50:34.210031,2017-12-11 00:51:34.210031
2017-12-11 00:51:34.210031,2017-12-11 00:52:34.210031
2017-12-11 00:52:34.210031,2017-12-11 00:53:34.210031
2017-12-11 00:53:34.210031,2017-12-11 00:54:34.210031
2017-12-11 00:54:34.210031,2017-12-11 00:55:34.210031
2017-12-11 00:55:34.210031,2017-12-11 00:56:34.210031
2017-12-11 00:56:34.210031,2017-12-11 00:57:34.210031
2017-12-11 00:57:34.210031,2017-12-11 00:58:34.210031
2017-12-11 00:58:34.210031,2017-12-11 00:59:34.210031
2017-12-11 00:59:34.210031,2017-12-11 01:00:34.210031
