Start,End
2021-07-04 00:00:00,2021-07-04 00:01:00
2021-07-04 00:01:00,2021-07-04 00:02:00
2021-07-04 00:02:00,2021-07-04 00:03:00
2021-07-04 00:03:00,2021-07-04 00:04:00
2021-07-04 00:04:00,2021-07-04 00:05:00
2021-07-04 00:05:00,2021-07-04 00:06:00
2021-07-04 00:06:00,2021-07-04 00:07:00
2021-07-04 00:07:00,2021-07-04 00:08:00
2021-07-04 00:08:00,2021-07-04 00:09:00
2021-07-04 00:09:00,2021-07-04 00:10:00
2021-07-04 00:10:00,2021-07-04 00:11:00
2021-07-04 00:11:00,2021-07-04 00:12:00
2021-07-04 00:12:00,2021-07-04 00:13:00
2021-07-04 00:13:00,2021-07-04 00:14:00
2021-07-04 00:14:00,2021-07-04 00:15:00
2021-07-04 00:15:00,2021-07-04 00:16:00
2021-07-04 00:16:00,2021-07-04 00:17:00
2021-07-04 00:17:00,2021-07-04 00:18:00
2021-07-04 00:18:00,2021-07-04 00:19:00
2021-07-04 00:19:00,2021-07-04 00:20:00
2021-07-04 00:20:00,2021-07-04 00:21:00
2021-07-04 00:21:00,2021-07-04 00:22:00
2021-07-04 00:22:00,2021-07-04 00:23:00
2021-07-04 00:23:00,2021-07-04 00:24:00
2021-07-04 00:24:00,2021-07-04 00:25:00
2021-07-04 00:25:00,2021-07-04 00:26:00
2021-07-04 00:26:00,2021-07-04 00:27:00
2021-07-04 00:27:00,2021-07-04 00:28:00
2021-07-04 00:28:00,2021-07-04 00:29:00
2021-07-04 00:29:00,2021-07-04 00:30:00
2021-07-04 00:30:00,2021-07-04 00:31:00
2021-07-04 00:31:00,2021-07-04 00:32:00
2021-07-04 00:32:00,2021-07-04 00:33:00
2021-07-04 00:33:00,2021-07-04 00:34:00
2021-07-04 00:34:00,2021-07-04 00:35:00
2021-07-04 00:35:00,2021-07-04 00:36:00
2021-07-04 00:36:00,2021-07-04 00:37:00
2021-07-04 00:37:00,2021-07-04 00:38:00
2021-07-04 00:38:00,2021-07-04 00:39:00
2021-07-04 00:39:00,2021-07-04 00:40:00
2021-07-04 00:40:00,2021-07-04 00:41:00
2021-07-04 00:41:00,2021-07-04 00:42:00
2021-07-04 00:42:00,2021-07-04 00:43:00
2021-07-04 00:43:00,2021-07-04 00:44:00
2021-07-04 00:44:00,2021-07-04 00:45:00
2021-07-04 00:45:00,2021-07-04 00:46:00
2021-07-04 00:46:00,2021-07-04 00:47:00
2021-07-04 00:47:00,2021-07-04 00:48:00
2021-07-04 00:48:00,2021-07-04 00:49:00
2021-07-04 00:49:00,2021-07-04 00:50:00
2021-07-04 00:50:00,2021-07-04 00:51:00
2021-07-04 00:51:00,2021-07-04 00:52:00
2021-07-04 00:52:00,2021-07-04 00:53:00
2021-07-04 00:53:00,2021-07-04 00:54:00
2021-07-04 00:54:00,2021-07-04 00:55:00
2021-07-04 00:55:00,2021-07-04 00:56:00
2021-07-04 00:56:00,2021-07-04 00:57:00
2021-07-04 00:57:00,2021-07-04 00:58:00
2021-07-04 00:58:00,2021-07-04 00:59:00
2021-07-04 00:59:00,2021-07-04 01:00:00
2021-07-04 01:00:00,2021-07-04 01:01:00
2021-07-04 01:03:43,2021-07-04 01:04:43
2021-07-04 01:04:43,2021-07-04 01:05:43
2021-07-04 01:05:43,2021-07-04 01:06:43
2021-07-04 01:11:29,2021-07-04 01:12:29
2021-07-04 01:12:29,2021-07-04 01:13:29
2021-07-04 01:13:29,2021-07-04 01:14:29
2021-07-04 01:16:34,2021-07-04 01:17:34
2021-07-04 01:17:34,2021-07-04 01:18:34
2021-07-04 01:18:34,2021-07-04 01:19:34
2021-07-04 01:19:34,2021-07-04 01:20:34
2021-07-04 01:20:34,2021-07-04 01:21:34
2021-07-04 01:21:34,2021-07-04 01:22:34
2021-07-04 01:27:51,2021-07-04 01:28:51
2021-07-04 01:31:21,2021-07-04 01:32:21
2021-07-04 01:32:21,2021-07-04 01:33:21
2021-07-04 01:33:21,2021-07-04 01:34:21
2021-07-04 01:38:48,2021-07-04 01:39:48
