Fecha UTC,Magnitud,Inicio_CO10,Inicio_AC04,Inicio_AC05,Inicio_CO05
2021-07-04T01:01:37.000000Z,5.9,2021-07-04T01:01:45.750000Z,2021-07-04T01:01:50.423000Z,2021-07-04T01:01:57.030000Z,2021-07-04T01:01:57.150000Z
2021-07-04T01:29:15.000000Z,5.8,2021-07-04T01:29:24.500000Z,2021-07-04T01:29:28.187000Z,2021-07-04T01:29:35.186000Z,2021-07-04T01:29:35.991000Z
2021-07-04T01:34:42.000000Z,4.0,2021-07-04T01:34:51.000000Z,2021-07-04T01:34:53.428000Z,2021-07-04T01:35:01.173000Z,2021-07-04T01:35:02.659000Z
2021-07-04T01:36:16.000000Z,4.1,2021-07-04T01:36:27.571000Z,2021-07-04T01:36:30.489000Z,2021-07-04T01:36:37.501000Z,2021-07-04T01:36:37.378000Z
2021-07-04T02:57:48.000000Z,4.6,2021-07-04T02:57:57.904000Z,2021-07-04T02:58:01.510000Z,2021-07-04T02:58:08.730000Z,2021-07-04T02:58:09.220000Z
2021-07-04T04:03:22.000000Z,4.4,2021-07-04T04:03:31.701000Z,2021-07-04T04:03:35.638000Z,2021-07-04T04:03:42.773000Z,2021-07-04T04:03:43.100000Z
2021-07-04T04:08:09.000000Z,4.0,2021-07-04T04:08:18.682000Z,2021-07-04T04:08:22.566000Z,2021-07-04T04:08:30.000000Z,2021-07-04T04:08:30.073000Z
2021-07-04T15:05:28.000000Z,4.6,2021-07-04T15:05:37.674000Z,2021-07-04T15:05:41.913000Z,2021-07-04T15:05:48.934000Z,2021-07-04T15:05:49.083000Z
2021-07-04T15:57:11.000000Z,4.3,2021-07-04T15:57:21.000000Z,2021-07-04T15:57:23.828000Z,2021-07-04T15:57:30.855000Z,2021-07-04T15:57:32.551000Z
2021-07-04T19:39:24.000000Z,4.0,2021-07-04T19:39:33.100000Z,2021-07-04T19:39:38.212000Z,2021-07-04T19:39:44.529000Z,2021-07-04T19:39:44.420000Z
2021-07-04T23:40:25.000000Z,4.4,2021-07-04T23:40:35.202000Z,2021-07-04T23:40:37.244000Z,2021-07-04T23:40:45.224000Z,2021-07-04T23:40:46.927000Z
