Fecha UTC,Magnitud,Hora detección estación AC04,Hora detección estación AC05,Hora detección estación CO05,Hora detección estación CO10,Distancia a estación AC04,Distancia a estación AC05,Distancia a estación CO05,Distancia a estación CO10
2021-07-04T01:01:37,5.9,2021-07-04T01:01:47,2021-07-04T01:01:52,2021-07-04T01:01:52,2021-07-04T01:01:43,82.25,126.88,128.51,50.24
2021-07-04T01:07:22,3.6,2021-07-04T01:07:31,2021-07-04T01:07:38,2021-07-04T01:07:38,2021-07-04T01:07:29,80.06,131.59,135.72,57.39
2021-07-04T01:08:58,3.2,2021-07-04T01:09:06,2021-07-04T01:09:11,2021-07-04T01:09:14,2021-07-04T01:09:05,64.77,110.6,134.94,59.1
2021-07-04T01:14:28,3.2,2021-07-04T01:14:37,2021-07-04T01:14:43,2021-07-04T01:14:44,2021-07-04T01:14:34,76.51,123.04,131.56,53.6
2021-07-04T01:25:18,3.0,2021-07-04T01:25:28,2021-07-04T01:25:33,2021-07-04T01:25:33,2021-07-04T01:25:23,81.1,123.13,126.45,48.38
2021-07-04T01:25:45,3.0,2021-07-04T01:25:53,2021-07-04T01:25:59,2021-07-04T01:26:01,2021-07-04T01:25:51,72.33,115.85,130.45,53.43
2021-07-04T01:29:15,5.8,2021-07-04T01:29:25,2021-07-04T01:29:30,2021-07-04T01:29:31,2021-07-04T01:29:21,81.16,128.99,131.79,53.48
2021-07-04T01:34:42,4.0,2021-07-04T01:34:51,2021-07-04T01:34:56,2021-07-04T01:34:58,2021-07-04T01:34:48,72.92,118.25,131.6,54.22
2021-07-04T01:36:16,4.1,2021-07-04T01:36:24,2021-07-04T01:36:30,2021-07-04T01:36:32,2021-07-04T01:36:22,71.71,113.66,129.58,52.94
2021-07-04T01:42:29,3.3,2021-07-04T01:42:38,2021-07-04T01:42:44,2021-07-04T01:42:45,2021-07-04T01:42:35,76.82,126.32,134.2,56.03
2021-07-04T01:50:43,3.6,2021-07-04T01:50:51,2021-07-04T01:50:57,2021-07-04T01:50:59,2021-07-04T01:50:50,70.09,117.24,133.9,56.75
2021-07-04T01:57:43,3.7,2021-07-04T01:57:53,2021-07-04T01:57:58,2021-07-04T01:57:58,2021-07-04T01:57:48,85.29,127.86,125.89,47.57
2021-07-04T02:05:56,3.7,2021-07-04T02:06:05,2021-07-04T02:06:10,2021-07-04T02:06:12,2021-07-04T02:06:02,74.07,117.83,130.02,52.66
