Fecha UTC,Magnitud,Hora detección estación CO10,Hora detección estación AC04,Hora detección estación AC05,Hora detección estación CO05
2021-07-04T01:01:37,5.9,2021-07-04T01:01:43,2021-07-04T01:01:47,2021-07-04T01:01:52,2021-07-04T01:01:52
2021-07-04T01:29:15,5.8,2021-07-04T01:29:21,2021-07-04T01:29:25,2021-07-04T01:29:30,2021-07-04T01:29:31
2021-07-04T01:34:42,4.0,2021-07-04T01:34:48,2021-07-04T01:34:51,2021-07-04T01:34:56,2021-07-04T01:34:58
2021-07-04T01:36:16,4.1,2021-07-04T01:36:22,2021-07-04T01:36:24,2021-07-04T01:36:30,2021-07-04T01:36:32
2021-07-04T02:57:48,4.6,2021-07-04T02:57:54,2021-07-04T02:57:57,2021-07-04T02:58:03,2021-07-04T02:58:04
2021-07-04T04:03:22,4.4,2021-07-04T04:03:28,2021-07-04T04:03:32,2021-07-04T04:03:37,2021-07-04T04:03:38
2021-07-04T04:08:09,4.0,2021-07-04T04:08:15,2021-07-04T04:08:18,2021-07-04T04:08:24,2021-07-04T04:08:25
2021-07-04T15:05:28,4.6,2021-07-04T15:05:34,2021-07-04T15:05:38,2021-07-04T15:05:43,2021-07-04T15:05:43
2021-07-04T15:57:11,4.3,2021-07-04T15:57:17,2021-07-04T15:57:20,2021-07-04T15:57:25,2021-07-04T15:57:27
2021-07-04T19:39:24,4.0,2021-07-04T19:39:30,2021-07-04T19:39:34,2021-07-04T19:39:40,2021-07-04T19:39:39
2021-07-04T23:40:25,4.4,2021-07-04T23:40:32,2021-07-04T23:40:34,2021-07-04T23:40:40,2021-07-04T23:40:42
