Fecha UTC	Hora detección estación CO10	Hora detección estación AC04	Hora detección estación AC05	Hora detección estación CO05
2021-07-04 01:01:37	2021-07-04T01:01:43	2021-07-04T01:01:47	2021-07-04T01:01:52	2021-07-04T01:01:52
2021-07-04 01:07:22	2021-07-04T01:07:29	2021-07-04T01:07:31	2021-07-04T01:07:38	2021-07-04T01:07:38
2021-07-04 01:08:58	2021-07-04T01:09:05	2021-07-04T01:09:06	2021-07-04T01:09:11	2021-07-04T01:09:14
2021-07-04 01:14:28	2021-07-04T01:14:34	2021-07-04T01:14:37	2021-07-04T01:14:43	2021-07-04T01:14:44
2021-07-04 01:22:51	2021-07-04T01:22:57	2021-07-04T01:23:00	2021-07-04T01:23:06	2021-07-04T01:23:06
2021-07-04 01:25:18	2021-07-04T01:25:23	2021-07-04T01:25:28	2021-07-04T01:25:33	2021-07-04T01:25:33
2021-07-04 01:25:45	2021-07-04T01:25:51	2021-07-04T01:25:53	2021-07-04T01:25:59	2021-07-04T01:26:01
2021-07-04 01:29:15	2021-07-04T01:29:21	2021-07-04T01:29:25	2021-07-04T01:29:30	2021-07-04T01:29:31
2021-07-04 01:34:42	2021-07-04T01:34:48	2021-07-04T01:34:51	2021-07-04T01:34:56	2021-07-04T01:34:58
2021-07-04 01:36:16	2021-07-04T01:36:22	2021-07-04T01:36:24	2021-07-04T01:36:30	2021-07-04T01:36:32
2021-07-04 01:42:29	2021-07-04T01:42:35	2021-07-04T01:42:38	2021-07-04T01:42:44	2021-07-04T01:42:45
2021-07-04 01:44:56	2021-07-04T01:45:03	2021-07-04T01:45:05	2021-07-04T01:45:12	2021-07-04T01:45:12
2021-07-04 01:45:15	2021-07-04T01:45:23	2021-07-04T01:45:21	2021-07-04T01:45:26	2021-07-04T01:45:32
2021-07-04 01:48:07	2021-07-04T01:48:14	2021-07-04T01:48:15	2021-07-04T01:48:22	2021-07-04T01:48:24
2021-07-04 01:50:43	2021-07-04T01:50:50	2021-07-04T01:50:51	2021-07-04T01:50:57	2021-07-04T01:50:59
2021-07-04 01:56:44	2021-07-04T01:56:50	2021-07-04T01:56:53	2021-07-04T01:56:59	2021-07-04T01:57:00
2021-07-04 01:57:43	2021-07-04T01:57:48	2021-07-04T01:57:53	2021-07-04T01:57:58	2021-07-04T01:57:58
2021-07-04 02:05:56	2021-07-04T02:06:02	2021-07-04T02:06:05	2021-07-04T02:06:10	2021-07-04T02:06:12
2021-07-04 02:07:44	2021-07-04T02:07:50	2021-07-04T02:07:53	2021-07-04T02:07:59	2021-07-04T02:08:00
2021-07-04 02:08:29	2021-07-04T02:08:34	2021-07-04T02:08:39	2021-07-04T02:08:44	2021-07-04T02:08:44
2021-07-04 02:08:58	2021-07-04T02:09:04	2021-07-04T02:09:07	2021-07-04T02:09:13	2021-07-04T02:09:13
2021-07-04 02:11:20	2021-07-04T02:11:26	2021-07-04T02:11:29	2021-07-04T02:11:35	2021-07-04T02:11:36
2021-07-04 02:17:56	2021-07-04T02:18:02	2021-07-04T02:18:05	2021-07-04T02:18:10	2021-07-04T02:18:12
2021-07-04 02:18:28	2021-07-04T02:18:33	2021-07-04T02:18:38	2021-07-04T02:18:43	2021-07-04T02:18:43
2021-07-04 02:22:19	2021-07-04T02:22:26	2021-07-04T02:22:28	2021-07-04T02:22:34	2021-07-04T02:22:35
2021-07-04 02:28:58	2021-07-04T02:29:04	2021-07-04T02:29:07	2021-07-04T02:29:12	2021-07-04T02:29:13
2021-07-04 02:39:27	2021-07-04T02:39:31	2021-07-04T02:39:45	2021-07-04T02:39:42	2021-07-04T02:39:32
2021-07-04 02:42:24	2021-07-04T02:43:59	2021-07-04T02:43:44	2021-07-04T02:43:47	2021-07-04T02:44:06
2021-07-04 02:42:25	2021-07-04T02:42:30	2021-07-04T02:42:34	2021-07-04T02:42:40	2021-07-04T02:42:40
2021-07-04 02:45:52	2021-07-04T02:45:58	2021-07-04T02:46:01	2021-07-04T02:46:07	2021-07-04T02:46:08
2021-07-04 02:57:48	2021-07-04T02:57:54	2021-07-04T02:57:57	2021-07-04T02:58:03	2021-07-04T02:58:04
2021-07-04 03:07:42	2021-07-04T03:07:48	2021-07-04T03:07:51	2021-07-04T03:07:57	2021-07-04T03:07:57
2021-07-04 03:09:17	2021-07-04T03:09:23	2021-07-04T03:09:25	2021-07-04T03:09:30	2021-07-04T03:09:32
2021-07-04 03:12:57	2021-07-04T03:13:03	2021-07-04T03:13:06	2021-07-04T03:13:12	2021-07-04T03:13:12
2021-07-04 03:39:32	2021-07-04T03:40:59	2021-07-04T03:41:14	2021-07-04T03:41:06	2021-07-04T03:40:50
2021-07-04 03:40:13	2021-07-04T03:40:21	2021-07-04T03:40:21	2021-07-04T03:40:29	2021-07-04T03:40:31
2021-07-04 03:46:11	2021-07-04T03:46:17	2021-07-04T03:46:21	2021-07-04T03:46:26	2021-07-04T03:46:27
2021-07-04 03:51:03	2021-07-04T03:51:09	2021-07-04T03:51:13	2021-07-04T03:51:19	2021-07-04T03:51:19
2021-07-04 04:03:22	2021-07-04T04:03:28	2021-07-04T04:03:32	2021-07-04T04:03:37	2021-07-04T04:03:38
2021-07-04 04:08:09	2021-07-04T04:08:15	2021-07-04T04:08:18	2021-07-04T04:08:24	2021-07-04T04:08:25
2021-07-04 04:27:39	2021-07-04T04:27:45	2021-07-04T04:27:48	2021-07-04T04:27:53	2021-07-04T04:27:54
